Site ID,Start date,End date
H07,2013-02-23,2013-04-16
H08,2010-08-30,2010-11-02
H08,2011-03-05,2011-08-04
H08,2011-09-15,2011-10-16
H08,2011-11-07,2011-11-10
H08,2012-05-29,2012-06-20
H08,2012-08-09,2013-02-19
H08,2013-02-23,2013-04-08
H09,2010-09-17,2010-11-05
H09,2011-02-14,2011-03-20
H09,2011-09-15,2012-01-03
H09,2012-01-13,2012-05-12
H09,2012-05-29,2012-07-04
H09,2012-08-13,2013-02-19
H09,2013-02-23,2013-04-14
H10,2010-09-18,2010-09-25
H10,2011-02-11,2011-02-25
H10,2011-09-09,2012-01-02
H10,2013-02-01,2013-02-12
H11,2010-09-08,2010-10-25
H11,2011-03-04,2011-07-03
H11,2011-09-09,2011-11-05
H11,2012-03-13,2012-05-26
H11,2012-05-29,2013-04-14
H12,2011-03-04,2011-08-01
H12,2011-09-09,2011-12-24
H13,2010-09-17,2010-11-02
H13,2011-09-09,2012-01-16
I01,2012-02-23,2012-07-30
I01,2012-09-27,2013-04-06
I02,2010-09-02,2010-10-24
I02,2011-02-27,2011-04-12
I02,2011-09-25,2012-06-26
I02,2012-07-30,2012-11-22
I02,2013-02-02,2013-04-06
I03,2010-09-02,2010-10-15
I03,2011-02-09,2011-02-27
I03,2011-04-25,2011-07-09
I03,2011-09-25,2012-06-08
I03,2012-07-30,2012-11-22
I03,2013-02-02,2013-04-09
I04,2010-07-29,2010-08-28
I04,2011-03-02,2011-06-09
I04,2011-09-06,2013-04-24
I05,2010-07-16,2010-08-06
I05,2010-09-04,2010-11-02
I05,2011-03-02,2011-06-19
I05,2011-09-06,2011-12-19
I05,2012-05-23,2012-07-06
I05,2012-08-09,2012-08-23
I05,2012-10-14,2012-10-19
I05,2012-11-23,2012-12-05
I05,2013-02-07,2013-04-16
I06,2010-07-16,2010-10-17
I06,2011-02-16,2011-03-13
I06,2011-03-26,2011-04-09
I06,2011-09-06,2011-11-01
I06,2011-11-02,2011-12-28
I06,2012-01-01,2012-06-01
I06,2012-08-09,2013-01-07
I06,2013-02-07,2013-04-26
I07,2010-09-06,2010-11-02
I07,2011-02-16,2011-07-14
I07,2011-09-15,2011-11-01
I07,2011-11-02,2012-04-18
I07,2012-05-23,2012-06-03
I07,2012-08-09,2012-08-09
I07,2012-10-14,2012-10-14
I07,2013-02-23,2013-02-26
